Month;Posting Date;No.;Customer;invoice amount;ship cost;sales
1;13.1.2025;SI013054;STIGA S.p.A.;37510;0; 37.510  € 
1;13.1.2025;SI013055;STIGA S.p.A.;32665,6;0; 32.666  € 
1;14.1.2025;SI013060;KENDA Deutschland GmbH;34933,63;-1885; 33.049  € 
1;14.1.2025;SI013059;STIGA S.p.A.;32528,4;0; 32.528  € 
1;15.1.2025;SI013063;STIGA S.p.A.;42084,4;0; 42.084  € 
1;15.1.2025;SI013062;BOHNENKAMP A/S;20720,55;0; 20.721  € 
1;16.1.2025;SI013064;AGATTACH;4702,68;0; 4.703  € 
1;17.1.2025;SI013069;KENDA Deutschland GmbH;5190,71;0; 5.191  € 
1;17.1.2025;SI013070;KENDA Polska Sp. z.o.o.;51933,09;0; 51.933  € 
1;17.1.2025;SI013068;BOHNENKAMP A/S;17928,51;0; 17.929  € 
1;20.1.2025;SI013073;KENDA Schweiz AG;480,26;0; 480  € 
1;21.1.2025;SI013078;STIGA S.p.A.;21547,6;0; 21.548  € 
1;21.1.2025;SI013079;Bohnenkamp SIA;28031,84;0; 28.032  € 
1;22.1.2025;SI013081;KENDA Polska Sp. z.o.o.;55681,46;0; 55.681  € 
1;23.1.2025;SI013082;KENDA GB Rugeley Ltd;48214,86;-3550; 44.665  € 
1;23.1.2025;SI013083;KENDA GB Rugeley Ltd;86;0; 86  € 
1;24.1.2025;SI013090;KENDA Deutschland GmbH;47267,17;-1885; 45.382  € 
1;24.1.2025;SI013091;BOHNENKAMP SE;32554,87;-1500; 31.055  € 
1;27.1.2025;SI013093;STIGA S.p.A.;33264;0; 33.264  € 
1;27.1.2025;SI013092;Jodika d.o.o.;206,07;0; 206  € 
1;28.1.2025;SI013094;KENDA Deutschland GmbH;53661,99;-1885; 51.777  € 
1;29.1.2025;SI013100;Ammann Czech Republic s.r.o.;4758,15;0; 4.758  € 
1;29.1.2025;SI013099;GRASDORF KOLA POLSKA Sp. z.o.o.;800;-800; -    € 
1;29.1.2025;SI013097;Monitor Manufacturing;21408,7;0; 21.409  € 
1;29.1.2025;SI013098;Monitor Manufacturing;4613,36;-4426,98; 186  € 
1;30.1.2025;SI013103;KENDA Polska Sp. z.o.o.;50374,81;0; 50.375  € 
1;31.1.2025;SI013112;KENDA GB Rugeley Ltd;47754,96;-3570; 44.185  € 
1;31.1.2025;SI013106;KENDA België NV;36364,72;-1970; 34.395  € 
1;31.1.2025;SI013114;KENDA Deutschland GmbH;47558,66;-1885; 45.674  € 
1;31.1.2025;SI013115;KENDA Polska Sp. z.o.o.;29467,77;0; 29.468  € 
1;31.1.2025;SI013108;KENDA Schweiz AG;33911,23;-2200; 31.711  € 
1;31.1.2025;SI013109;KENDA Schweiz AG;2549,84;0; 2.550  € 
1;31.1.2025;SI013107;STIGA S.p.A.;33353,2;0; 33.353  € 
1;31.1.2025;SI013113;STIGA S.p.A.;35131,6;0; 35.132  € 
1;31.1.2025;SI013118;ROSENBAUER INTERNATIONAL AG;33679,11;0; 33.679  € 
1;31.1.2025;SI013116;Bohnenkamp Benelux BV;9220,05;-750; 8.470  € 
1;31.1.2025;SI013119;Evolution S.r.l.;29533,73;-900; 28.634  € 
2;3.2.2025;SI013121;Evolution S.r.l.;245,76;0; 246  € 
2;4.2.2025;SI013122;STIGA S.p.A.;47059,2;0; 47.059  € 
2;5.2.2025;SI013123;KENDA België NV;1970;-1970; -    € 
2;5.2.2025;SI013126;STIGA S.p.A.;40118,4;0; 40.118  € 
2;7.2.2025;SI013128;KENDA GB Rugeley Ltd;48819,73;-3570; 45.250  € 
2;7.2.2025;SI013130;KENDA Deutschland GmbH;51121,79;-1885; 49.237  € 
2;8.2.2025;SI013131;KENDA Polska Sp. z.o.o.;56401,95;0; 56.402  € 
2;10.2.2025;SI013132;STIGA S.p.A.;32625,6;0; 32.626  € 
2;11.2.2025;SI013134;STIGA S.p.A.;31078,4;0; 31.078  € 
2;11.2.2025;SI013133;ROSENBAUER INTERNATIONAL AG;16598,5;0; 16.599  € 
2;12.2.2025;SI013135;KENDA Deutschland GmbH;45188,47;-1885; 43.303  € 
2;13.2.2025;SI013145;STIGA S.p.A.;12628;0; 12.628  € 
2;14.2.2025;SI013148;KENDA Deutschland GmbH;54067,16;-1885; 52.182  € 
2;14.2.2025;SI013146;KENDA Polska Sp. z.o.o.;58472,46;0; 58.472  € 
2;15.2.2025;SI013149;KENDA Polska Sp. z.o.o.;28890,92;0; 28.891  € 
2;17.2.2025;SI013150;SOMAC;5790,36;-900; 4.890  € 
2;18.2.2025;SI013152;ROSENBAUER INTERNATIONAL AG;45061,04;0; 45.061  € 
2;18.2.2025;SI013154;BOHNENKAMP AB;726,18;0; 726  € 
2;18.2.2025;SI013153;BOHNENKAMP A/S;52256,02;0; 52.256  € 
2;18.2.2025;SI013155;STIGA S.p.A. spare-parts ;7209,04;0; 7.209  € 
2;19.2.2025;SI013165;STIGA S.p.A.;7560;0; 7.560  € 
2;19.2.2025;SI013166;STIGA S.p.A.;10579,97;0; 10.580  € 
2;20.2.2025;SI013167;KENDA Deutschland GmbH;48624,57;-1885; 46.740  € 
2;21.2.2025;SI013168;KENDA GB Rugeley Ltd;45271,33;-3570; 41.701  € 
2;21.2.2025;SI013174;KENDA Polska Sp. z.o.o.;12025,15;0; 12.025  € 
2;21.2.2025;SI013169;KENDA Schweiz AG;32203,82;-2200; 30.004  € 
2;21.2.2025;SI013170;KENDA Schweiz AG;1176,24;0; 1.176  € 
2;21.2.2025;SI013172;STIGA S.p.A.;13305,6;0; 13.306  € 
2;21.2.2025;SI013173;STIGA S.p.A.;49737,6;0; 49.738  € 
2;21.2.2025;SI013171;ZIEHL-ABEGG Automotive GmbH & Co.;1888,89;0; 1.889  € 
2;22.2.2025;SI013175;KENDA Polska Sp. z.o.o.;45511,24;-1340; 44.171  € 
2;25.2.2025;SI013182;KENDA Deutschland GmbH;45672,91;-1885; 43.788  € 
2;25.2.2025;SI013183;KENDA Deutschland GmbH;2337,08;0; 2.337  € 
2;25.2.2025;SI013177;Rosenbauer Motors, LLC;10616,16;0; 10.616  € 
2;25.2.2025;SI013178;Rosenbauer Motors, LLC;12128,88;0; 12.129  € 
2;26.2.2025;SI013184;KENDA Polska Sp. z.o.o.;45240,39;0; 45.240  € 
2;27.2.2025;SI013188;KENDA Deutschland GmbH;38916,79;-1885; 37.032  € 
2;27.2.2025;SI013185;SODIJANTES INDUSTRIE SAS;52765,5;0; 52.766  € 
2;28.2.2025;SI013198;KENDA België NV;37365,75;-1980; 35.386  € 
2;28.2.2025;SI013194;KENDA Polska Sp. z.o.o.;46707,22;-1340; 45.367  € 
2;28.2.2025;SI013199;KENDA Polska Sp. z.o.o.;289,6;0; 290  € 
2;28.2.2025;SI013189;KENDA Schweiz AG;22383,85;-2200; 20.184  € 
2;28.2.2025;SI013192;KENDA Schweiz AG;280,22;0; 280  € 
2;28.2.2025;SI013190;Franz Trinker Räderproduktion GmbH;9468,72;0; 9.469  € 
2;28.2.2025;SI013191;STIGA S.p.A.;32152,2;0; 32.152  € 
2;28.2.2025;SI013193;STIGA S.p.A.;7350,6;0; 7.351  € 
2;28.2.2025;SI013196;Ammann Czech Republic s.r.o.;5140,08;0; 5.140  € 
2;28.2.2025;SI013195;BOHNENKAMP s.r.o.;14730,78;0; 14.731  € 
2;28.2.2025;SI013197;Bohnenkamp Kft.;3327,3;0; 3.327  € 
3;3.3.2025;SI013202;KENDA Polska Sp. z.o.o.;1303,62;0; 1.304  € 
3;3.3.2025;SI013201;STIGA S.p.A.;10445,74;-1090; 9.356  € 
3;4.3.2025;SI013203;STIGA S.p.A.;37497,6;0; 37.498  € 
3;4.3.2025;SI013207;BOHNENKAMP A/S;27894,66;0; 27.895  € 
3;5.3.2025;SI013208;KENDA Polska Sp. z.o.o.;47123,91;-1340; 45.784  € 
3;5.3.2025;SI013206;ZIEHL-ABEGG Automotive GmbH & Co.;6264,13;0; 6.264  € 
3;5.3.2025;SI013204;Monitor Manufacturing;541,06;0; 541  € 
3;6.3.2025;SI013219;KENDA Deutschland GmbH;45152,67;-1885; 43.268  € 
3;6.3.2025;SI013210;STIGA S.p.A.;6123,2;0; 6.123  € 
3;6.3.2025;SI013211;BOHNENKAMP s.r.o.;241,92;0; 242  € 
3;7.3.2025;SI013222;KENDA GB Rugeley Ltd;42093,94;-3570; 38.524  € 
3;7.3.2025;SI013224;KENDA België NV;3536,58;-500; 3.037  € 
3;7.3.2025;SI013225;STIGA S.p.A.;34575,2;0; 34.575  € 
3;8.3.2025;SI013227;KENDA Deutschland GmbH;30284,63;-1885; 28.400  € 
3;8.3.2025;SI013226;KENDA Polska Sp. z.o.o.;2211,08;-700; 1.511  € 
3;8.3.2025;SI013231;KENDA Polska Sp. z.o.o.;25113,26;-1340; 23.773  € 
3;10.3.2025;SI013230;STIGA S.p.A.;12560;0; 12.560  € 
3;11.3.2025;SI013236;KENDA Deutschland GmbH;3112,88;-1300; 1.813  € 
3;11.3.2025;SI013237;KENDA Schweiz AG;1209;0; 1.209  € 
3;11.3.2025;SI013238;KENDA Schweiz AG;26900,09;-2200; 24.700  € 
3;11.3.2025;SI013232;Grasdorf Rad  GmbH;0;0; -    € 
3;11.3.2025;SI013234;Grasdorf Rad  GmbH;15238,54;0; 15.239  € 
3;11.3.2025;SI013233;GRASDORF GmbH;4860,41;0; 4.860  € 
3;11.3.2025;SI013235;FRANZ ACHLEITNER;1071,24;0; 1.071  € 
3;12.3.2025;SI013240;GRASDORF KOLA POLSKA Sp. z.o.o.;18810,19;0; 18.810  € 
3;13.3.2025;SI013246;Forrim bv;20186,43;-1200; 18.986  € 
3;14.3.2025;SI013248;KENDA GB Rugeley Ltd;39656,89;-3570; 36.087  € 
3;14.3.2025;SI013247;KENDA Deutschland GmbH;59247,27;-1885; 57.362  € 
3;17.3.2025;SI013260;KENDA France SAS;4739,28;-365; 4.374  € 
3;17.3.2025;SI013259;KENDA Deutschland GmbH;4400,5;0; 4.401  € 
3;17.3.2025;SI013249;KENDA Polska Sp. z.o.o.;54771,88;-1340; 53.432  € 
3;17.3.2025;SI013257;KENDA Polska Sp. z.o.o.;1126,89;0; 1.127  € 
3;17.3.2025;SI013252;STIGA S.p.A.;40953,2;-1095; 39.858  € 
3;17.3.2025;SI013256;STIGA S.p.A.;21053,4;-1095; 19.958  € 
3;17.3.2025;SI013251;Bohnenkamp SIA;6469,77;0; 6.470  € 
3;17.3.2025;SI013253;Bohnenkamp Kft.;461,25;0; 461  € 
3;18.3.2025;SI013258;KENDA Deutschland GmbH;41029,56;-1885; 39.145  € 
3;19.3.2025;SI013263;KENDA Polska Sp. z.o.o.;45986,59;-1340; 44.647  € 
3;19.3.2025;SI013262;KENDA Manufacturing HR d.o.o. - radnici ;15;0; 15  € 
3;19.3.2025;SI013261;STIGA S.p.A.;21053,4;-1095; 19.958  € 
3;21.3.2025;SI013270;KENDA Deutschland GmbH;58784,64;-1885; 56.900  € 
3;21.3.2025;SI013272;STIGA S.p.A.;36718,2;-1095; 35.623  € 
3;24.3.2025;SI013275;KENDA GB Rugeley Ltd;21260;-1785; 19.475  € 
3;24.3.2025;SI013273;KENDA Deutschland GmbH;30608,36;-1885; 28.723  € 
3;24.3.2025;SI013274;KENDA Polska Sp. z.o.o.;19299,4;0; 19.299  € 
3;25.3.2025;SI013277;KENDA Polska Sp. z.o.o.;2963,16;0; 2.963  € 
3;25.3.2025;SI013276;Bohnenkamp Kft.;737,04;0; 737  € 
3;27.3.2025;SI013286;KENDA Deutschland GmbH;46127,46;-1885; 44.242  € 
3;27.3.2025;SI013285;KENDA Polska Sp. z.o.o.;53073,58;0; 53.074  € 
3;27.3.2025;SI013281;KENDA Schweiz AG;5605,28;0; 5.605  € 
3;27.3.2025;SI013282;KENDA Schweiz AG;37503,79;-2200; 35.304  € 
3;27.3.2025;SI013280;STIGA S.p.A.;39916,8;0; 39.917  € 
3;27.3.2025;SI013279;BOHNENKAMP SE;33205,53;-1400; 31.806  € 
3;28.3.2025;SI013289;KENDA GB Rugeley Ltd;48534,14;-3570; 44.964  € 
3;28.3.2025;SI013292;STIGA S.p.A.;16167;-1095; 15.072  € 
3;28.3.2025;SI013293;ROSENBAUER INTERNATIONAL AG;28641,42;0; 28.641  € 
3;28.3.2025;SI013287;GRASDORF GmbH;0;0; -    € 
3;28.3.2025;SI013290;GRASDORF GmbH;1346,08;0; 1.346  € 
3;28.3.2025;SI013288;Bohnenkamp Kft.;16439,82;-570; 15.870  € 
3;29.3.2025;SI013294;KENDA Deutschland GmbH;524,37;0; 524  € 
3;29.3.2025;SI013295;KENDA Deutschland GmbH;41515,78;-1885; 39.631  € 
3;31.3.2025;SI013302;Bohnenkamp Benelux BV;17346,54;-1000; 16.347  € 
3;31.3.2025;SI013301;BOHNENKAMP A/S;37902,04;0; 37.902  € 
3;31.3.2025;SI013303;BOHNENKAMP A/S;11654,28;0; 11.654  € 
3;31.3.2025;SI013299;ZIEHL-ABEGG Automotive GmbH & Co.;6264,13;0; 6.264  € 
3;31.3.2025;SI013300;OFFICINE BREVETTI CARON S.R.L.;8196,05;-500; 7.696  € 
4;1.4.2025;SI013306;KENDA Polska Sp. z.o.o.;55467,22;-1340; 54.127  € 
4;2.4.2025;SI013307;KENDA Deutschland GmbH;47474,75;-1885; 45.590  € 
4;2.4.2025;SI013308;STIGA S.p.A.;11645,4;-1095; 10.550  € 
4;4.4.2025;SI013309;STIGA S.p.A.;527,63;-527,63; -    € 
4;4.4.2025;SI013310;STIGA S.p.A. spare-parts ;6781,25;0; 6.781  € 
4;5.4.2025;SI013312;KENDA Deutschland GmbH;1106,11;0; 1.106  € 
4;5.4.2025;SI013313;KENDA Deutschland GmbH;45901,48;-1885; 44.016  € 
4;5.4.2025;SI013311;KENDA Polska Sp. z.o.o.;47010,77;0; 47.011  € 
4;8.4.2025;SI013315;KENDA GB Rugeley Ltd;36346,7;-3570; 32.777  € 
4;9.4.2025;SI013320;KENDA België NV;18743,31;-1300; 17.443  € 
4;9.4.2025;SI013318;KENDA Polska Sp. z.o.o.;22305,51;-1340; 20.966  € 
4;9.4.2025;SI013319;STIGA S.p.A.;13282,2;0; 13.282  € 
4;9.4.2025;SI013322;STIGA S.p.A.;32477,4;-1095; 31.382  € 
4;10.4.2025;SI013324;KENDA Deutschland GmbH;52913,43;-1885; 51.028  € 
4;10.4.2025;SI013333;STIGA S.p.A.;30730,2;-1095; 29.635  € 
4;11.4.2025;SI013334;STIGA S.p.A.;32691,6;0; 32.692  € 
4;12.4.2025;SI013336;KENDA Deutschland GmbH;35512,86;-1885; 33.628  € 
4;12.4.2025;SI013335;KENDA Polska Sp. z.o.o.;40474,94;0; 40.475  € 
4;14.4.2025;SI013338;KENDA Schweiz AG;7370,44;0; 7.370  € 
4;14.4.2025;SI013339;KENDA Schweiz AG;20223,84;-2200; 18.024  € 
4;15.4.2025;SI013341;STIGA S.p.A.;35372,2;0; 35.372  € 
4;17.4.2025;SI013347;KENDA Deutschland GmbH;49529,97;-1885; 47.645  € 
4;17.4.2025;SI013344;KENDA Polska Sp. z.o.o.;56550,77;0; 56.551  € 
4;17.4.2025;SI013345;KENDA Schweiz AG;380,84;0; 381  € 
4;17.4.2025;SI013343;AGROMEHANIKA;4518,81;0; 4.519  € 
4;18.4.2025;SI013348;KENDA GB Rugeley Ltd;80;0; 80  € 
4;18.4.2025;SI013349;KENDA GB Rugeley Ltd;51396,59;-3570; 47.827  € 
4;18.4.2025;SI013346;STIGA S.p.A.;35372,2;0; 35.372  € 
4;22.4.2025;SI013356;STIGA S.p.A.;16147,4;-1095; 15.052  € 
4;22.4.2025;SI013357;BOHNENKAMP A/S;35579,17;0; 35.579  € 
4;23.4.2025;SI013359;KENDA Deutschland GmbH;49636,16;-1885; 47.751  € 
4;24.4.2025;SI013362;KENDA Polska Sp. z.o.o.;42717,46;-1340; 41.377  € 
4;25.4.2025;SI013363;KENDA Polska Sp. z.o.o.;2319,12;0; 2.319  € 
4;25.4.2025;SI013366;KENDA Schweiz AG;33834,85;-2200; 31.635  € 
4;25.4.2025;SI013365;BOHNENKAMP AB;647,73;0; 648  € 
4;25.4.2025;SI013364;BOHNENKAMP A/S;1756,08;0; 1.756  € 
4;28.4.2025;SI013369;KENDA GB Rugeley Ltd;53906,06;-3570; 50.336  € 
4;28.4.2025;SI013371;KENDA Deutschland GmbH;33859,49;-1885; 31.974  € 
4;28.4.2025;SI013368;KENDA Polska Sp. z.o.o.;48355,25;0; 48.355  € 
4;28.4.2025;SI013370;STIGA S.p.A.;35573,24;0; 35.573  € 
4;30.4.2025;SI013379;KENDA België NV;8537,07;-1300; 7.237  € 
4;30.4.2025;SI013388;KENDA Deutschland GmbH;45287,5;-1885; 43.403  € 
4;30.4.2025;SI013385;KENDA Polska Sp. z.o.o.;45257,29;-1340; 43.917  € 
4;30.4.2025;SI013377;KENDA Schweiz AG;8401,48;0; 8.401  € 
4;30.4.2025;SI013378;KENDA Schweiz AG;35254,15;-2200; 33.054  € 
4;30.4.2025;SI013384;BOHNENKAMP SE;1487,34;-175; 1.312  € 
4;30.4.2025;SI013376;SOMAC;28528,94;-2300; 26.229  € 
4;30.4.2025;SI013381;SOMAC;18518,04;0; 18.518  € 
4;30.4.2025;SI013382;BOHNENKAMP s.r.o.;2875,08;0; 2.875  € 
4;30.4.2025;SI013380;Bohnenkamp Benelux BV;9362,86;-600; 8.763  € 
4;30.4.2025;SI013383;Bohnenkamp Kft.;2095,2;0; 2.095  € 
4;30.4.2025;SI013386;Evolution S.r.l.;16433,65;-700; 15.734  € 
4;30.4.2025;SI013387;Maschinenfabrik Bernard Krone GmbH & Co. KG;26571,6;0; 26.572  € 
5;6.5.2025;SI013392;BOHNENKAMP A/S;10273,19;0; 10.273  € 
5;7.5.2025;SI013394;KENDA België NV;28605,63;-1400; 27.206  € 
5;7.5.2025;SI013393;STIGA S.p.A.;19404;0; 19.404  € 
5;8.5.2025;SI013396;KENDA Deutschland GmbH;46969,18;-1885; 45.084  € 
5;8.5.2025;SI013395;KENDA Polska Sp. z.o.o.;52693,36;0; 52.693  € 
5;9.5.2025;SI013407;ROSENBAUER INTERNATIONAL AG;56275,24;0; 56.275  € 
5;12.5.2025;SI013402;KENDA Deutschland GmbH;36296,13;-1885; 34.411  € 
5;12.5.2025;SI013404;KENDA Polska Sp. z.o.o.;28165,86;0; 28.166  € 
5;12.5.2025;SI013406;KENDA Schweiz AG;34116,75;-2200; 31.917  € 
5;12.5.2025;SI013403;STIGA S.p.A.;19593,6;0; 19.594  € 
5;12.5.2025;SI013401;ROSENBAUER INTERNATIONAL AG;0;0; -    € 
5;13.5.2025;SI013408;KENDA GB Rugeley Ltd;58505,97;-3570; 54.936  € 
5;13.5.2025;SI013410;KENDA GB Rugeley Ltd;110,64;0; 111  € 
5;13.5.2025;SI013411;KENDA Polska Sp. z.o.o.;3155,16;0; 3.155  € 
5;13.5.2025;SI013409;STIGA S.p.A.;26319,6;-1090; 25.230  € 
5;14.5.2025;SI013412;KENDA Polska Sp. z.o.o.;55765,56;-1340; 54.426  € 
5;14.5.2025;SI013413;AGRO METAL;8690,31;0; 8.690  € 
5;15.5.2025;SI013416;KENDA GB Rugeley Ltd;30459,31;-1785; 28.674  € 
5;15.5.2025;SI013414;KENDA Deutschland GmbH;384,36;0; 384  € 
5;15.5.2025;SI013415;KENDA Polska Sp. z.o.o.;4121,91;-900; 3.222  € 
5;16.5.2025;SI013418;KENDA Deutschland GmbH;29324,81;-942,5; 28.382  € 
5;16.5.2025;SI013423;KENDA Schweiz AG;4535;0; 4.535  € 
5;16.5.2025;SI013424;KENDA Schweiz AG;18108,02;-2200; 15.908  € 
